,USD,CAD,EUR,GBP,HKD,CHF,JPY,AUD,INR,CNY,BTC
USD,1,1.38,1.03,0.9,7.85,1,145.67,1.59,82.42,7.15,5.00E-05
CAD,0.73,1,0.75,0.66,5.7,0.73,105.77,1.15,59.84,5.19,4.00E-05
EUR,0.97,1.34,1,0.88,7.62,0.97,141.47,1.54,80.04,6.95,5.00E-05
GBP,1.11,1.53,1.14,1,8.7,1.11,161.4,1.76,91.32,7.93,6.00E-05
HKD,0.13,0.18,0.13,0.11,1,0.13,18.56,0.2,10.5,0.91,1.00E-05
CHF,1,1.38,1.03,0.9,7.85,1,145.74,1.59,82.46,7.16,5.00E-05
JPY,0.01,0.01,0.01,0.01,0.05,0.01,1,0.01,0.57,0.05,0
AUD,0.63,0.87,0.65,0.57,4.94,0.63,91.7,1,51.88,4.5,3.00E-05
INR,0.01,0.02,0.01,0.01,0.1,0.01,1.77,0.02,1,0.09,0
CNY,0.14,0.19,0.14,0.13,1.1,0.14,20.36,0.22,11.52,1,1.00E-05
BTC,19140.23,26361.42,19709.06,17275.3,150249.86,19131.52,2788227.71,30405.69,1577560.1,136940.7,1
